host_module,Gene,GeneEdgeWeight
Module_60__metabolic_catabolic,HK3,1.6788492015794698
Module_60__metabolic_catabolic,HTR2A,1.6788492015794698
Module_60__metabolic_catabolic,IFNG,1.6788492015794698
Module_60__metabolic_catabolic,IGF1,1.6788492015794698
Module_60__metabolic_catabolic,INS,1.6788492015794698
Module_60__metabolic_catabolic,INSR,1.6788492015794698
Module_60__metabolic_catabolic,KAT2B,1.6788492015794698
Module_60__metabolic_catabolic,LDHA,1.6788492015794698
Module_60__metabolic_catabolic,LDHAL6A,1.6788492015794698
Module_60__metabolic_catabolic,LDHB,1.6788492015794698
Module_60__metabolic_catabolic,LDHC,1.6788492015794698
Module_60__metabolic_catabolic,LIPA,1.6788492015794698
Module_60__metabolic_catabolic,ME1,1.6788492015794698
Module_60__metabolic_catabolic,ME3,1.6788492015794698
Module_60__metabolic_catabolic,MLST8,1.6788492015794698
Module_60__metabolic_catabolic,MLXIPL,1.6788492015794698
Module_60__metabolic_catabolic,MTOR,1.6788492015794698
Module_60__metabolic_catabolic,NCOR1,1.6788492015794698
Module_60__metabolic_catabolic,NUPR1,1.6788492015794698
Module_60__metabolic_catabolic,OGDH,1.6788492015794698
